TransactionID,CustomerID,Date,ProductID,Price_Customer,Qty,TotalAmount,StoreID,Age,Gender,Marital Status,Income,Product Name,Price_Product,StoreName,GroupStore,Type
TR11369,328,2022-01-01,P3,7500,4,30000,12,36,0,0,10.53,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR89318,183,2022-07-17,P3,7500,1,7500,12,27,1,1,0.18,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR9106,123,2022-09-26,P3,7500,4,30000,12,34,0,0,4.36,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR4331,335,2022-08-01,P3,7500,3,22500,12,29,1,1,4.74,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR6445,181,2022-10-01,P3,7500,4,30000,12,33,1,0,9.94,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR38909,285,2022-04-03,P3,7500,4,30000,12,20,0,1,0.0,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR36491,117,2022-03-01,P3,7500,4,30000,12,45,1,0,12.55,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR20045,243,2022-01-20,P3,7500,1,7500,12,38,0,0,3.34,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR12061,189,2022-03-28,P3,7500,5,37500,12,59,1,1,5.15,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR39272,176,2022-12-21,P3,7500,5,37500,12,54,1,0,18.32,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR85256,12,2022-10-25,P3,7500,5,37500,12,2,1,0,4.94,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR4319,329,2022-08-30,P3,7500,6,45000,12,19,1,1,0.0,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR40337,168,2022-01-23,P3,7500,2,15000,12,27,0,0,4.88,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR75889,154,2022-01-19,P3,7500,3,22500,12,31,0,0,8.36,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR22929,301,2022-05-11,P3,7500,5,37500,12,60,0,0,8.97,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR72053,28,2022-03-02,P3,7500,6,45000,12,55,0,0,6.08,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR71806,149,2022-07-18,P3,7500,1,7500,12,61,1,0,3.96,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR61464,231,2022-02-20,P3,7500,4,30000,12,51,1,0,16.59,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR74741,234,2022-08-30,P3,7500,5,37500,12,61,1,0,10.86,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR70264,361,2022-03-06,P3,7500,3,22500,12,26,1,1,0.06,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR47996,150,2022-03-05,P3,7500,3,22500,12,61,1,0,8.56,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR6832,423,2022-08-30,P3,7500,6,45000,12,22,0,0,3.55,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR40755,423,2022-11-15,P3,7500,4,30000,12,22,0,0,3.55,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR69289,401,2022-03-06,P3,7500,4,30000,12,45,0,0,4.08,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR89889,397,2022-06-04,P3,7500,4,30000,12,24,0,1,6.42,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR78728,258,2022-07-03,P3,7500,5,37500,12,51,0,0,12.57,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR26577,435,2022-02-27,P3,7500,5,37500,12,29,1,0,3.61,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR91120,114,2022-01-23,P3,7500,6,45000,12,22,0,1,3.14,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR90300,57,2022-02-02,P3,7500,3,22500,12,33,1,0,6.5,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR53260,214,2022-03-17,P3,7500,1,7500,12,52,0,0,13.14,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR86261,360,2022-06-16,P3,7500,3,22500,12,54,0,0,35.78,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR11644,293,2022-08-30,P3,7500,1,7500,12,54,0,0,10.4,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR70798,428,2022-04-02,P3,7500,4,30000,12,60,1,0,4.49,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR81730,39,2022-05-30,P3,7500,3,22500,12,66,1,0,6.19,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR96509,39,2022-03-11,P3,7500,3,22500,12,66,1,0,6.19,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR93040,346,2022-01-03,P3,7500,2,15000,12,62,0,0,5.08,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR41225,336,2022-03-16,P3,7500,1,7500,12,51,0,1,10.84,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR64717,129,2022-11-14,P3,7500,4,30000,12,35,1,1,10.46,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR62440,430,2022-04-16,P3,7500,6,45000,12,55,1,1,18.37,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR16421,316,2022-04-09,P3,7500,2,15000,12,45,0,0,9.49,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR56383,431,2022-09-13,P3,7500,5,37500,12,40,1,0,9.51,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR90060,309,2022-06-05,P3,7500,2,15000,12,23,0,1,3.03,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR79608,337,2022-10-14,P3,7500,3,22500,12,43,1,0,5.12,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR97236,255,2022-08-07,P3,7500,3,22500,12,24,1,1,5.78,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR40506,414,2022-05-17,P3,7500,6,45000,12,21,1,1,0.74,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR98841,332,2022-12-29,P3,7500,3,22500,12,28,1,1,6.91,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR132,25,2022-08-20,P3,7500,3,22500,12,24,1,0,2.67,Crackers,7500,Prestasi Utama,Prestasi,General Trade
TR49903,270,2022-02-17,P8,16000,2,32000,12,49,1,0,8.81,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR38368,333,2022-12-17,P8,16000,3,48000,12,47,0,0,17.99,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR22169,24,2022-10-03,P8,16000,1,16000,12,37,0,0,9.53,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR262,87,2022-09-23,P8,16000,3,48000,12,44,1,0,9.57,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR86483,45,2022-03-01,P8,16000,3,48000,12,53,0,0,9.25,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR68280,36,2022-04-01,P8,16000,1,16000,12,32,1,0,10.4,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR51352,440,2022-04-20,P8,16000,2,32000,12,40,0,0,3.47,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR73051,135,2022-05-19,P8,16000,2,32000,12,41,0,0,3.28,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR18491,122,2022-01-07,P8,16000,1,16000,12,26,1,1,0.14,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR52092,122,2022-12-20,P8,16000,1,16000,12,26,1,1,0.14,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR50337,8,2022-06-18,P8,16000,3,48000,12,37,1,0,5.49,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR63021,393,2022-11-01,P8,16000,1,16000,12,22,0,1,0.0,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR68792,184,2022-09-22,P8,16000,3,48000,12,33,0,1,13.93,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR52721,356,2022-01-18,P8,16000,3,48000,12,56,0,0,13.25,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR85806,76,2022-04-16,P8,16000,3,48000,12,38,1,0,7.88,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR82034,372,2022-03-20,P8,16000,2,32000,12,31,1,0,6.19,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR99028,407,2022-10-02,P8,16000,1,16000,12,53,1,0,9.27,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR75679,277,2022-04-05,P8,16000,1,16000,12,60,1,0,9.38,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR69931,384,2022-01-28,P8,16000,2,32000,12,59,1,0,4.42,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR69862,272,2022-09-14,P8,16000,2,32000,12,60,0,0,4.05,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR64429,175,2022-07-31,P8,16000,2,32000,12,60,0,0,9.7,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR30241,381,2022-11-15,P8,16000,2,32000,12,39,0,0,6.92,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR48845,305,2022-01-04,P8,16000,3,48000,12,29,1,0,4.08,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR44376,58,2022-09-25,P8,16000,3,48000,12,27,1,0,4.43,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR14129,15,2022-06-26,P8,16000,3,48000,12,30,0,0,4.52,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR15284,431,2022-12-04,P8,16000,1,16000,12,40,1,0,9.51,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR87025,166,2022-07-30,P8,16000,3,48000,12,33,0,0,3.33,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR51447,158,2022-09-09,P8,16000,2,32000,12,49,1,0,5.6,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR89612,414,2022-01-10,P8,16000,1,16000,12,21,1,1,0.74,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR63350,408,2022-05-20,P8,16000,2,32000,12,34,1,0,9.45,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR46395,248,2022-12-05,P8,16000,3,48000,12,36,1,0,5.76,Oat,16000,Prestasi Utama,Prestasi,General Trade
TR7917,386,2022-09-21,P5,4200,3,12600,12,33,0,0,6.95,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR56104,222,2022-12-02,P5,4200,4,16800,12,45,0,0,15.03,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR18538,24,2022-08-31,P5,4200,5,21000,12,37,0,0,9.53,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR42197,181,2022-04-23,P5,4200,4,16800,12,33,1,0,9.94,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR22634,34,2022-08-12,P5,4200,5,21000,12,45,0,0,6.36,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR32940,285,2022-05-25,P5,4200,5,21000,12,20,0,1,0.0,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR5030,178,2022-12-20,P5,4200,3,12600,12,43,0,0,9.58,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR87320,22,2022-12-06,P5,4200,2,8400,12,34,0,1,9.91,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR87395,167,2022-03-10,P5,4200,3,12600,12,28,1,0,2.91,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR75977,30,2022-09-19,P5,4200,3,12600,12,37,1,1,2.26,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR13980,306,2022-01-07,P5,4200,2,8400,12,49,0,0,16.52,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR12946,20,2022-12-15,P5,4200,5,21000,12,43,0,0,18.91,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR96325,13,2022-03-07,P5,4200,5,21000,12,23,0,1,2.03,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR54094,122,2022-07-15,P5,4200,5,21000,12,26,1,1,0.14,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR8561,108,2022-10-21,P5,4200,4,16800,12,25,0,1,6.87,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR51656,232,2022-10-18,P5,4200,2,8400,12,62,0,0,7.32,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR99379,295,2022-10-18,P5,4200,2,8400,12,34,0,0,4.78,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR71994,234,2022-07-05,P5,4200,3,12600,12,61,1,0,10.86,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR93784,217,2022-11-29,P5,4200,3,12600,12,39,1,1,6.96,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR84691,404,2022-03-16,P5,4200,2,8400,12,22,0,1,2.69,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR18825,413,2022-07-31,P5,4200,3,12600,12,31,0,0,8.8,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR98748,66,2022-01-30,P5,4200,4,16800,12,37,1,0,3.04,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR99856,114,2022-03-29,P5,4200,5,21000,12,22,0,1,3.14,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR26238,422,2022-11-11,P5,4200,3,12600,12,21,1,1,3.88,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR57565,180,2022-01-25,P5,4200,4,16800,12,22,1,0,4.07,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR60495,298,2022-02-11,P5,4200,3,12600,12,38,1,0,8.99,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR51571,219,2022-09-04,P5,4200,5,21000,12,39,0,1,9.73,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR33585,152,2022-11-25,P5,4200,4,16800,12,59,1,0,10.68,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR88227,215,2022-04-22,P5,4200,3,12600,12,25,0,1,5.54,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR87715,215,2022-05-15,P5,4200,5,21000,12,25,0,1,5.54,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR89571,245,2022-10-22,P5,4200,5,21000,12,26,1,0,4.58,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR13801,384,2022-03-19,P5,4200,4,16800,12,59,1,0,4.42,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR32416,263,2022-05-02,P5,4200,3,12600,12,40,1,0,10.21,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR12740,263,2022-02-20,P5,4200,4,16800,12,40,1,0,10.21,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR12063,293,2022-11-05,P5,4200,3,12600,12,54,0,0,10.4,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR68513,268,2022-08-23,P5,4200,2,8400,12,49,1,1,5.18,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR26926,428,2022-12-04,P5,4200,5,21000,12,60,1,0,4.49,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR75594,428,2022-10-26,P5,4200,5,21000,12,60,1,0,4.49,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR74375,220,2022-04-02,P5,4200,5,21000,12,45,0,0,16.35,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR32454,363,2022-10-07,P5,4200,3,12600,12,35,0,0,6.05,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR64334,39,2022-04-10,P5,4200,4,16800,12,66,1,0,6.19,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR93539,247,2022-04-08,P5,4200,2,8400,12,33,1,0,8.11,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR57388,279,2022-07-30,P5,4200,3,12600,12,62,0,0,5.35,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR7687,273,2022-10-27,P5,4200,3,12600,12,27,1,0,3.32,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR77621,273,2022-12-22,P5,4200,2,8400,12,27,1,0,3.32,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR36777,305,2022-07-07,P5,4200,4,16800,12,29,1,0,4.08,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR90484,377,2022-08-21,P5,4200,4,16800,12,53,0,1,10.39,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR90878,323,2022-05-29,P5,4200,3,12600,12,58,0,0,10.55,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR97744,29,2022-12-05,P5,4200,5,21000,12,59,1,0,10.5,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR4976,212,2022-11-27,P5,4200,2,8400,12,36,0,0,7.96,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR83227,155,2022-11-03,P5,4200,3,12600,12,40,0,0,7.17,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR56918,382,2022-09-06,P5,4200,4,16800,12,54,0,0,15.55,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
TR26815,158,2022-03-27,P5,4200,3,12600,12,49,1,0,5.6,Thai Tea,4200,Prestasi Utama,Prestasi,General Trade
